libnids 1.24-5
libnl 3.5.0-2
libnm 1.30.2-1
libnotify 0.7.9-1
libnsl 1.3.0-1
libnumbertext 1.0.7-1
libodfgen 0.1.8-1
libogg 1.3.4-2
libomxil-bellagio 0.9.3-3
liborcus 0.16.1-5
libotf 0.9.16-3
libp11-kit 0.23.22-1
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.10.0-1
libpciaccess 0.16-2
libpeas 1.28.0-3
libpgm 5.3.128-1
libpipeline 1.5.3-1
libpipewire02 0.2.7-1
libplacebo 3.104.0-2
libplist 2.2.0-3
libpng 1.6.37-3
libproxy 0.4.17-1
libpsl 0.21.1-1
libpulse 14.2-2
libqxp 0.0.2-5
librabbitmq-c 0.10.0-1
libraw 0.20.2-1
libraw1394 2.1.2-3
libreoffice-fresh 7.1.1-1
librevenge 0.0.4-3
librsvg 2:2.50.3-1
libsamplerate 0.2.1-1
libsasl 2.1.27-3
libsavitar 4.8.0-2
libseccomp 2.5.1-2
libsecret 0.20.4-1
libshout 1:2.4.5-1
libsidplayfp 2.1.1-1
libsigc++ 2.10.6-1
libsigsegv 2.13-1
libsm 1.2.3-2
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.72.0+10+gfe1e295d-1
libsoxr 0.1.3-2
libspectre 0.2.9-2
libspiro 1:20200505-2
libspnav 0.2.3-3
libssh 0.9.5-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstemmer 0+713-2
libsynctex 2020.54586-11
libtar 1.2.20-5
libtasn1 4.16.0-1
libteam 1.31-2
libtermkey 0.22-2
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.2.0-1
libtirpc 1.3.1-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-14
libtorrent-rasterbar 1:1.2.11-1
libudev0-shim 1-4
libunistring 0.9.10-3
libunwind 1.5.0-1
libupnp 1.14.2-1
liburing 0.7-2
libusb 1.0.24-2
libusb-compat 0.1.7-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libuv 1.41.0-1
libva 2.10.0-1
libvdpau 1.4-1
libvisio 0.1.7-4
libvisual 0.4.0-8
libvoikko 4.3.1-1
libvorbis 1.3.7-2
libvpx 1.9.0-1
libvterm 0.1.3.git1.65dbda-1
libwacom 1.9-1
libwebp 1.2.0-1
libwmf 0.2.12-2
libwpd 0.10.3-2
libwpe 1.8.0-1
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.0-4
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.18-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft-bgra-git 2.3.3.r112.dcd637d-1
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.1.0-2
libxkbcommon-x11 1.1.0-2
libxkbfile 1.1.0-2
libxml2 2.9.10-8
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
libzen 0.4.38-2
libzim 6.3.0-2
libzip 1.7.3-2
libzmf 0.0.2-9
licenses 20200427-1
light-locker 1.9.0-4
linux 5.11.8.artix1-1
linux-api-headers 5.10.13-1
linux-firmware 20210315.3568f96-1
linux-headers 5.11.8.artix1-1
lirc 1:0.10.1-8
lisp 1.2.0-1
lld 11.1.0-1
llvm 11.1.0-1
llvm-libs 11.1.0-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
log4cplus 2.0.5-1
logrotate 3.18.0-1
lpsolve 5.5.2.5-4
lrzip 0.640-1
lsb-release 1.4-18
lua 5.4.2-1
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.0.5-3
lvm2 2.03.11-5
lvm2-openrc 20210208-1
lynx 2.8.9-3
lz4 1:1.9.3-1
lzo 2.10-3
lzop 1.04-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-8
m4 1.4.18-3
mailcap 2.1.49-1
maim 5.6.3-3
make 4.3-3
man-db 2.9.4-1
man-pages 5.11-1
mariadb 10.5.9-1
mariadb-clients 10.5.9-1
mariadb-libs 10.5.9-1
mate-icon-theme-faenza 1.20.0-2
mathjax2 2.7.9-1
maven 3.6.3-1
md4c 0.4.7-1
mdadm 4.1-2
mdadm-openrc 20200620-1
med 4.1.0-3
media-player-info 24-2
mediainfo 20.09-1
memtest86+ 5.01-4
mesa 20.3.4-3
meson 0.57.1-1
metasploit 6.0.34-1
metis 5.1.0.p10-1
midori 9.0-3
minicom 2.8-1
minizip 1:1.2.11-4
mkinitcpio 30-1
mkinitcpio-busybox 1.32.1-3
mkinitcpio-openswap 0.1.0-2
mobile-broadband-provider-info 20201225-1
monero 0.17.1.9-2
mongo-c-driver 1.17.4-1
mono 6.12.0.107-1
mono-addins 1.3.3-3
mozilla-common 1.4-6
mpc 0.33-3
mpd 0.22.6-2
mpdecimal 2.5.1-1
mpfr 4.1.0-1
mpg123 1.26.5-1
mpv 1:0.33.0-4
msgpack-c 3.3.0-2
msmtp 1.8.13-1
mtdev 1.1.6-1
mujs 1.1.0-1
mustache 4.1-3
mutt-wizard-git r880.g5c8d38f-1
mypaint-brushes1 1.3.1-1
nano 5.6.1-1
nasm 2.15.05-1
ncmpcpp 0.9.2-1
ncurses 6.2-1
ncurses5-compat-libs 6.2-1
ndctl 71.1-1
neofetch 7.1.0-2
neomutt 20210205-1
neon 0.31.2-1
neovim 0.4.4-1
net-tools 2.10-1
netcdf 4.7.4-1
netifrc 0.7.3-1
netpbm 10.73.33-1
nettle 3.7.2-1
newsboat 2.23-1
nfs-utils 2.5.3-1
nfs-utils-openrc 20200620-1
nfsidmap 2.5.3-1
ngspice 33-1
nikto 2.1.6-3
nilfs-utils 2.2.8-2
ninja 1.10.2-1
nlopt 2.7.0-1
